"Site","nYear","nYearMODIS","PFT","Latitude","Longitude","Climate","Model","DOI","Period"
"AR-SLu",3,3,"MF",-33.4648,-66.4598,"B","No","10.18140/FLX/1440191","2009-2011"
"AR-Vir",4,4,"ENF",-28.2395,-56.1886,"C","No","10.18140/FLX/1440192","2009-2012"
"AT-Neu",11,11,"GRA",47.11667,11.3175,"D","Yes","10.18140/FLX/1440121","2002-2012"
"AU-Ade",3,3,"WSH",-13.0769,131.1178,"A","No","10.18140/FLX/1440193","2007-2009"
"AU-ASM",5,5,"ENF",-22.283,133.249,"B","No","10.18140/FLX/1440194","2010-2014"
"AU-Cpr",5,5,"WSH",-34.0021,140.5891,"B","No","10.18140/FLX/1440195","2010-2014"
"AU-Cum",3,3,"EBF",-33.61518,150.72362,"C","No","10.18140/FLX/1440196","2012-2014"
"AU-DaP",7,7,"GRA",-14.0633,131.3181,"A","Yes","10.18140/FLX/1440123","2007-2013"
"AU-DaS",7,7,"WSH",-14.1593,131.3881,"A","No","10.18140/FLX/1440122","2008-2014"
"AU-Dry",7,7,"WSH",-15.2588,132.3706,"A","No","10.18140/FLX/1440197","2008-2014"
"AU-Emr",3,3,"GRA",-23.8587,148.4746,"B","No","10.18140/FLX/1440198","2011-2013"
"AU-Fog",3,3,"WET",-12.5452,131.3072,"A","No","10.18140/FLX/1440124","2006-2008"
"AU-Gin",4,4,"WSH",-31.3764,115.7138,"C","No","10.18140/FLX/1440199","2011-2014"
"AU-GWW",2,2,"WSH",-30.1913,120.6541,"B","No","10.18140/FLX/1440200","2013-2014"
"AU-How",14,14,"WSH",-12.4943,131.1523,"A","No","10.18140/FLX/1440125","2001-2014"
"AU-Lox",2,2,"DBF",-34.4704,140.6551,"B","Yes","10.18140/FLX/1440247","2008-2009"
"AU-RDF",3,3,"WSH",-14.5636,132.4776,"A","No","10.18140/FLX/1440201","2011-2013"
"AU-Rig",4,4,"GRA",-36.6499,145.5759,"C","Yes","10.18140/FLX/1440202","2011-2014"
"AU-Rob",1,1,"EBF",-17.1175,145.6301,"A","No","10.18140/FLX/1440203","2014-2014"
"AU-Stp",7,7,"GRA",-17.1507,133.3502,"B","No","10.18140/FLX/1440204","2008-2014"
"AU-TTE",3,3,"SH",-22.287,133.64,"B","No","10.18140/FLX/1440205","2012-2014"
"AU-Tum",14,14,"EBF",-35.6566,148.1517,"C","No","10.18140/FLX/1440126","2001-2014"
"AU-Wac",4,4,"EBF",-37.4259,145.1878,"C","No","10.18140/FLX/1440127","2005-2008"
"AU-Whr",4,4,"EBF",-36.6732,145.0294,"C","No","10.18140/FLX/1440206","2011-2014"
"AU-Wom",5,5,"EBF",-37.4222,144.0944,"C","No","10.18140/FLX/1440207","2010-2014"
"AU-Ync",3,3,"GRA",-34.9893,146.2907,"B","Yes","10.18140/FLX/1440208","2012-2014"
"BE-Bra",19,14,"MF",51.30761,4.51984,"C","No","10.18140/FLX/1440128","1996-2014"
"BE-Lon",11,11,"CRO",50.55162,4.74623,"C","No","10.18140/FLX/1440129","2004-2014"
"BE-Vie",19,14,"MF",50.30493,5.99812,"C","No","10.18140/FLX/1440130","1996-2014"
"BR-Sa1",10,10,"EBF",-2.85667,-54.95889,"A","No","10.18140/FLX/1440032","2002-2011"
"BR-Sa3",5,4,"EBF",-3.01803,-54.97144,"A","No","10.18140/FLX/1440033","2000-2004"
"CA-Gro",12,12,"DBF",48.2167,-82.1556,"D","Yes","10.18140/FLX/1440034","2003-2014"
"CA-Man",NA,NA,"ENF",55.87962,-98.48081,"D","No","10.18140/FLX/1440035","1994-2008"
"CA-NS1",5,5,"ENF",55.87917,-98.48389,"D","Yes","10.18140/FLX/1440036","2001-2005"
"CA-NS2",5,5,"ENF",55.90583,-98.52472,"D","Yes","10.18140/FLX/1440037","2001-2005"
"CA-NS3",5,5,"ENF",55.91167,-98.38222,"D","Yes","10.18140/FLX/1440038","2001-2005"
"CA-NS4",4,4,"ENF",55.91437,-98.380645,"D","Yes","10.18140/FLX/1440039","2002-2005"
"CA-NS5",5,5,"ENF",55.86306,-98.485,"D","Yes","10.18140/FLX/1440040","2001-2005"
"CA-NS6",5,5,"SH",55.91667,-98.96444,"D","No","10.18140/FLX/1440041","2001-2005"
"CA-NS7",4,4,"SH",56.63583,-99.94833,"D","No","10.18140/FLX/1440042","2002-2005"
"CA-Oas",15,10,"DBF",53.62889,-106.19779,"D","Yes","10.18140/FLX/1440043","1996-2010"
"CA-Obs",14,10,"ENF",53.98717,-105.11779,"D","Yes","10.18140/FLX/1440044","1997-2010"
"CA-Qfo",8,8,"ENF",49.6925,-74.34206,"D","Yes","10.18140/FLX/1440045","2003-2010"
"CA-SF1",4,4,"ENF",54.48503,-105.81757,"D","No","10.18140/FLX/1440046","2003-2006"
"CA-SF2",5,5,"ENF",54.25392,-105.8775,"D","Yes","10.18140/FLX/1440047","2001-2005"
"CA-SF3",6,6,"SH",54.09156,-106.00526,"D","No","10.18140/FLX/1440048","2001-2006"
"CA-TP1",13,13,"ENF",42.66093611,-80.55951944,"D","No","10.18140/FLX/1440050","2002-2014"
"CA-TP2",6,6,"ENF",42.77441944,-80.458775,"D","No","10.18140/FLX/1440051","2002-2007"
"CA-TP3",13,13,"ENF",42.70681111,-80.34831389,"D","No","10.18140/FLX/1440052","2002-2014"
"CA-TP4",13,13,"ENF",42.710161,-80.357376,"D","Yes","10.18140/FLX/1440053","2002-2014"
"CA-TPD",3,3,"DBF",42.635328,-80.557731,"D","Yes","10.18140/FLX/1440112","2012-2014"
"CG-Tch",4,4,"WSH",-4.28917,11.65642,"A","No","10.18140/FLX/1440142","2006-2009"
"CH-Cha",10,10,"GRA",47.21022,8.41044,"D","No","10.18140/FLX/1440131","2005-2014"
"CH-Dav",18,14,"ENF",46.81533,9.85591,"E","No","10.18140/FLX/1440132","1997-2014"
"CH-Fru",10,10,"GRA",47.11583,8.53778,"E","No","10.18140/FLX/1440133","2005-2014"
"CH-Lae",11,11,"MF",47.47833,8.36439,"D","No","10.18140/FLX/1440134","2004-2014"
"CH-Oe1",7,7,"GRA",47.28583,7.73194,"D","No","10.18140/FLX/1440135","2002-2008"
"CH-Oe2",11,11,"CRO",47.28642,7.73375,"D","No","10.18140/FLX/1440136","2004-2014"
"CN-Cha",3,3,"MF",42.4025,128.0958,"D","No","10.18140/FLX/1440137","2003-2005"
"CN-Cng",4,4,"GRA",44.5934,123.5092,"D","Yes","10.18140/FLX/1440209","2007-2010"
"CN-Dan",2,2,"GRA",30.4978,91.0664,"D","No","10.18140/FLX/1440138","2004-2005"
"CN-Din",3,3,"EBF",23.1733,112.5361,"C","No","10.18140/FLX/1440139","2003-2005"
"CN-Du2",3,3,"GRA",42.0467,116.2836,"D","Yes","10.18140/FLX/1440140","2006-2008"
"CN-Du3",2,2,"GRA",42.0551,116.2809,"D","Yes","10.18140/FLX/1440210","2009-2010"
"CN-Ha2",3,3,"WET",37.6086,101.3269,"D","No","10.18140/FLX/1440211","2003-2005"
"CN-HaM",3,3,"GRA",37.37,101.18,"D","Yes","10.18140/FLX/1440190","2002-2004"
"CN-Qia",3,3,"ENF",26.7414,115.0581,"C","No","10.18140/FLX/1440141","2003-2005"
"CN-Sw2",3,3,"GRA",41.7902,111.8971,"B","No","10.18140/FLX/1440212","2010-2012"
"CZ-BK1",11,11,"ENF",49.50208,18.53688,"D","No","10.18140/FLX/1440143","2004-2014"
"CZ-BK2",9,9,"GRA",49.49443,18.54285,"D","No","10.18140/FLX/1440144","2004-2012"
"CZ-wet",9,9,"WET",49.02465,14.77035,"D","Yes","10.18140/FLX/1440145","2006-2014"
"DE-Akm",6,6,"WET",53.86617,13.68342,"D","No","10.18140/FLX/1440213","2009-2014"
"DE-Geb",14,14,"CRO",51.09973,10.91463,"D","No","10.18140/FLX/1440146","2001-2014"
"DE-Gri",11,11,"GRA",50.95004,13.51259,"D","No","10.18140/FLX/1440147","2004-2014"
"DE-Hai",13,12,"DBF",51.07921,10.45217,"D","Yes","10.18140/FLX/1440148","2000-2012"
"DE-Kli",11,11,"CRO",50.89306,13.52238,"D","Yes","10.18140/FLX/1440149","2004-2014"
"DE-Lkb",5,5,"ENF",49.09962,13.30467,"D","No","10.18140/FLX/1440214","2009-2013"
"DE-Lnf",11,11,"DBF",51.32822,10.3678,"D","Yes","10.18140/FLX/1440150","2002-2012"
"DE-Obe",7,7,"ENF",50.78666,13.72129,"D","No","10.18140/FLX/1440151","2008-2014"
"DE-RuR",4,4,"GRA",50.62191,6.30413,"C","No","10.18140/FLX/1440215","2011-2014"
