"ts","mean.r2","sd.r2","mean.rRMSE","sd.rRMSE","num"
60,0.143627758311487,0.149658598610155,0.70810776028328,1.3488902557569,215
59,0.145544585319971,0.150459482547465,0.732068484974479,1.68911904765379,214
58,0.145374125357388,0.151230143850956,0.769066012382411,2.2672822622779,216
57,0.146801407429744,0.152147007484459,0.80429904504884,2.75410367437696,216
56,0.147019087779657,0.152986047582246,0.835580752331589,3.28662244701264,218
55,0.148469618895663,0.15356013406394,0.827376323253291,3.10360526720139,218
54,0.149771676294055,0.154027778754124,0.774562463512167,2.32442785905044,218
53,0.152441179148963,0.154530541197537,0.757279845155517,2.1073255249349,216
52,0.155088002918643,0.155065484692574,0.779494973664579,2.40269855097601,214
51,0.156175424624046,0.155329245312881,0.829701008382699,3.1417480898758,214
50,0.156587613866296,0.155658773326966,0.866981605351196,3.72419583469558,215
49,0.158781121978755,0.15645640920042,0.933694289484612,4.67821018746983,214
48,0.159658309358406,0.157225235177935,0.970042097360117,5.23821540233372,215
47,0.161346781294715,0.157957593815662,0.91997684586448,4.5281315758637,215
46,0.163265005531274,0.159008983862287,0.905017701074809,4.33240689796698,215
45,0.163602881381137,0.160075928599836,1.00917193060177,5.90280840524879,217
44,0.1654643560043,0.160834417877908,1.18291908275597,8.47981725669749,217
43,0.168437123615203,0.161711687866454,1.45162804577464,12.3931066907928,216
42,0.169284283463807,0.162381127710799,1.03668899413449,6.36110294975725,218
41,0.171922323884518,0.163818147016076,0.812564391141094,3.04722308824874,218
40,0.173540468164306,0.165084243588491,0.748358302600002,2.12102504246792,219
39,0.174539915448743,0.165535898535819,0.737412784536373,1.98796827992001,220
38,0.173699128540681,0.165954694326633,0.697974951744448,1.43847535973133,223
37,0.174507657113672,0.166359821822964,0.679668803113029,1.13274976624064,224
36,0.173923537043587,0.167244023004932,0.663707807395947,0.939867447842976,227
35,0.175071489547898,0.168193357002148,0.658008940360284,0.864818335649241,228
34,0.174681490727814,0.168925015663838,0.656987502887886,0.84600024026685,231
33,0.174197983597267,0.169367046578272,0.657268799067771,0.847869272773827,234
32,0.175223842288811,0.169646746466313,0.657804516652657,0.865769999618425,235
31,0.176352082775922,0.169672450988939,0.650810967945093,0.759014800341087,236
30,0.178949180584314,0.170733440729213,0.647601708231044,0.724489846651561,236
29,0.179189997882506,0.170935292800843,0.649110865526727,0.767997621154177,238
28,0.178204824328115,0.170777459729617,0.647105471730051,0.771728811084089,240
27,0.178059375400402,0.171134531649269,0.641584817656972,0.710821553780449,241
26,0.17882452794776,0.171583266942284,0.636455866076501,0.645765342239607,241
25,0.180002356525426,0.172270760496757,0.635341006471162,0.629167574609531,241
24,0.182062712730546,0.173440169813396,0.635733847749967,0.611037814095657,240
23,0.18406762207347,0.174163924075814,0.632574112805418,0.568929701345502,239
22,0.185703566990411,0.174925248571363,0.63208842222854,0.570252029467659,238
21,0.184103275115856,0.175521376140428,0.630670192836478,0.555085045931462,241
20,0.184947047164122,0.176712741716399,0.625341624168958,0.507240512950878,241
19,0.187010498678467,0.178291207831859,0.616548838792627,0.469835653496807,239
18,0.18792016980095,0.179328704370048,0.626176009041338,0.468507815092628,238
17,0.187569024670357,0.180343119818161,0.628112660057428,0.460530663670742,239
16,0.185060267716729,0.181562916648538,0.628973687774211,0.459193932005278,242
15,0.189372502775919,0.181709459873854,0.630346829263509,0.473455033046358,236
14,0.187640162040418,0.182378019814216,0.633414626318569,0.470687481563204,238
13,0.192366452711123,0.183444070288018,0.637726124032136,0.486596781560867,232
12,0.193831753692015,0.183451693763334,0.645240073253354,0.516939429573462,230
11,0.194007330276142,0.183241578894814,0.653498388000896,0.599088061883505,228
10,0.189135935222873,0.181454923609765,0.666945791794175,0.757413972269691,230
9,0.184161277496125,0.179485547733299,0.702484894941668,1.22680584466272,230
8,0.179041185229127,0.176462095429965,0.679305982420646,0.864138776022319,229
7,0.172417477285062,0.171990071502488,0.611749603913016,0.363674272078387,228
6,0.166835189845709,0.167241168123198,0.620503988432472,0.386600721424795,223
5,0.157287855281029,0.15905041946214,0.632879706919556,0.418552002861344,220
4,0.148298445382978,0.152359400118726,0.638404832935865,0.473596218130302,213
3,0.130363431751559,0.147135363996182,0.831202671052935,2.69864718278367,209
2,0.112241870150817,0.133187834777878,0.622007493771775,1.08511549957384,199
