"ts","mean.r2","sd.r2","mean.rRMSE","sd.rRMSE","num"
60,0.204876488844793,0.190871944168907,0.429874759836208,0.206321713467804,246
59,0.207237452154318,0.191332255683168,0.427396146988524,0.202807319740803,246
58,0.204800935764334,0.191947493021402,0.427674881108292,0.198503750259184,252
57,0.207032177966983,0.19253356989037,0.425407558366874,0.195054315822148,252
56,0.208893091548639,0.192689238266509,0.424259930829081,0.191794096271022,252
55,0.210720082331428,0.192711311466067,0.422544670474424,0.188412073776899,252
54,0.212657157494708,0.192705750627467,0.420825703873157,0.185563335956435,252
53,0.214738860641762,0.192889599526823,0.418956582610182,0.183165836597201,252
52,0.21592217451505,0.193438353074251,0.417389960861094,0.180644810666112,253
51,0.217639243860404,0.193520378756682,0.416336035883477,0.178456409360039,253
50,0.217230655113547,0.193196807353079,0.414449183437257,0.175846595006129,255
49,0.21853390433635,0.193070751282169,0.41328088333637,0.174428415457019,255
48,0.218572246346855,0.193499873790603,0.413159345865316,0.172953351930791,257
47,0.221754465753001,0.193399463687078,0.411144723211927,0.169764827466565,255
46,0.22267961697522,0.193631769237202,0.409748851390647,0.16739400066148,256
45,0.223707445192195,0.193604063177842,0.410772163941073,0.167721643338642,257
44,0.223886935772785,0.193921538135013,0.411611272099472,0.165017121288694,259
43,0.224020312643325,0.193870110925764,0.411940566303849,0.162099981994414,261
42,0.227801843649984,0.193470672876357,0.408849088501289,0.158402452291601,259
41,0.230835690265393,0.193069818824522,0.407980868848595,0.157189368787852,258
40,0.230410561614184,0.193454350472304,0.406693288002086,0.154707758944062,261
39,0.232736669087541,0.19394988729832,0.403441830664875,0.151682957022208,261
38,0.234913790206744,0.194560020742403,0.403373006646366,0.149931133454637,261
37,0.237026577561194,0.195099478573012,0.403106027674443,0.150482911362009,261
36,0.238069158575417,0.195881847484608,0.402012397712367,0.149210809628472,262
35,0.239023127074687,0.196901721739437,0.401061404514411,0.147287249656152,263
34,0.239121352240585,0.197792418997859,0.399914224260141,0.14596235321332,265
33,0.239331683677753,0.198429809620354,0.401646018711915,0.145131825699738,267
32,0.243089038946011,0.198771802509227,0.400212306970851,0.141959319668813,265
31,0.242417883824612,0.200030155299307,0.400013259630748,0.143018419088876,268
30,0.245475649109749,0.201088992750903,0.399359125316126,0.140886180305412,267
29,0.244449573588517,0.20219701197116,0.39953930110032,0.138696816903697,270
28,0.245197161362696,0.201954621185482,0.397893956456376,0.139119270802648,271
27,0.247372680766692,0.20204105873581,0.397453790709639,0.138161741824561,271
26,0.248229035008566,0.204046416406158,0.396680240683745,0.137305607192098,272
25,0.249511844595688,0.203752973664397,0.392021531872107,0.136632097655621,271
24,0.249697862652243,0.201989697964282,0.391636525674879,0.1369052345746,270
23,0.248021893311995,0.201058620724713,0.391693290486333,0.136289346478497,271
22,0.246355480394742,0.200312295924162,0.393757179171362,0.134469545849947,272
21,0.247220392108506,0.198651765883487,0.393533203307008,0.135393634191396,270
20,0.243757971853303,0.198394610080202,0.393269671746322,0.136255126532616,273
19,0.244455918538925,0.197763664942983,0.394129496268051,0.136585940160704,272
18,0.244391350118998,0.198149365954336,0.395209543992274,0.135501392535015,272
17,0.243580019586596,0.198359103796954,0.396612518437648,0.13452025705149,272
16,0.244516015979684,0.19822468079852,0.394273728202467,0.134723639912339,270
15,0.242843368428325,0.199087549880041,0.394382584319689,0.135664016265574,270
14,0.243079672284015,0.199901714467018,0.395945792766961,0.136409210503405,267
13,0.238056552534718,0.199840739398762,0.397712178232154,0.137093829067902,270
12,0.237547559659006,0.199177878120474,0.396461997351897,0.13891116468022,268
11,0.232934321634615,0.198170701494698,0.398121320584749,0.140614021282223,269
10,0.228299257334782,0.197190391981136,0.399686531307625,0.139535518649354,267
9,0.224536511768982,0.195009430666097,0.400294371350633,0.140042877096139,264
8,0.219157876570982,0.191366826812226,0.404194386859397,0.141408611461982,261
7,0.209425914431407,0.18699347046429,0.407286976748741,0.141666439316415,261
6,0.202892479314438,0.182464949196685,0.40650336901592,0.147348481505025,256
5,0.190697661877797,0.177812457965549,0.410301686481741,0.146035468057745,255
4,0.173150362314937,0.166139132808062,0.412344485511323,0.145887253914204,252
3,0.153463594949753,0.154419522150317,0.421495933134435,0.156072192999104,247
2,0.132556341204593,0.142486655584686,0.430526087691659,0.16279788728149,240
