"ts","mean.r2","sd.r2","mean.rRMSE","sd.rRMSE","num"
60,0.162642822102347,0.15451235248209,0.00281388763726095,0.00104645733359658,287
59,0.162039610872607,0.154604877213191,0.00281917699612188,0.0010515802222019,288
58,0.162524839050128,0.154525285365496,0.00282151781055306,0.00105889329098809,287
57,0.162174293831287,0.154523322221629,0.00281767460191501,0.00105322896587404,288
56,0.162420507027066,0.154580062722362,0.00282538593612847,0.00106023897699619,288
55,0.162158625537847,0.154475135354879,0.00282424596076224,0.00106500785841252,289
54,0.161582757592253,0.154560144270469,0.00282575738073078,0.00106851634066761,291
53,0.160574792004249,0.154897655134231,0.00281163306427918,0.00104863948039981,294
52,0.160350667478149,0.154881680244601,0.00282372301921452,0.00106759214806187,295
51,0.160742434247067,0.155117207723146,0.00281775950090708,0.00107054923766796,295
50,0.161303067294565,0.15547489842133,0.00281798584604596,0.00107504353833968,295
49,0.161851000932356,0.155532525638762,0.00281319181671458,0.00107762347909316,295
48,0.164036882004677,0.155537146687212,0.00280903969460588,0.00107181357394685,292
47,0.164588446347094,0.15576668276992,0.002800520965673,0.00107598250642431,292
46,0.164668159155684,0.156085286173021,0.00279255489252233,0.00107880902962811,293
45,0.164775934690586,0.156586241891306,0.00279223569728977,0.00108232528153989,294
44,0.164848222748905,0.15631833638192,0.00279436409933806,0.00107853470412943,294
43,0.163943169401178,0.156304219481867,0.00280154520014901,0.00109089398313184,296
42,0.163349207654461,0.156485573597232,0.00280341169519828,0.00109233762370501,298
41,0.165670652742656,0.157290204233024,0.0028004314040415,0.00109216423220338,295
40,0.166174094231025,0.157588860633066,0.00280641976852922,0.00109768802140433,295
39,0.166105485084317,0.157937810142656,0.00281081685415724,0.00110231029240989,296
38,0.166393415506181,0.159029645746465,0.00281036438741832,0.00110469305627342,297
37,0.16593656080201,0.159519351950815,0.00281684236220562,0.0011130628727719,299
36,0.165755589357698,0.159394790970481,0.00279363788581979,0.00108616478770999,300
35,0.164693551404036,0.158990923143276,0.00279254099190723,0.00109552092600266,302
34,0.164349532664877,0.158707062616426,0.00277717868344358,0.00108946453904892,303
33,0.164774232116894,0.158778698223387,0.00277983563514558,0.00109253868556889,303
32,0.165248994425738,0.158601565432031,0.00278440988874065,0.00109552053761838,303
31,0.164335492638157,0.157697765616423,0.00279006363941902,0.00111695686692377,305
30,0.165730240537247,0.157640019233477,0.00277087808972046,0.00110230089900395,304
29,0.167158499430646,0.157353993242716,0.00276336697890878,0.00109810121588042,303
28,0.167352572182689,0.156565577507591,0.00274891447801209,0.00108497039077528,304
27,0.168031673185775,0.156814279181068,0.0027572897296496,0.0010925904975805,304
26,0.168910909209319,0.157225056362723,0.00275804528751389,0.00109598024715849,304
25,0.170165454621174,0.157225875050886,0.00276144946909328,0.0011090892718424,303
24,0.168788329458708,0.157070754990827,0.00276577837125628,0.00111348133665416,306
23,0.169512090621201,0.15724074578303,0.00276581081631687,0.00111977780315459,305
22,0.170779841859631,0.157485790378025,0.00277183922481447,0.00112797503993439,304
21,0.170784179089428,0.157164960940056,0.0027657433860071,0.00112219208962446,305
20,0.171105528617487,0.157362839462228,0.00274904442672687,0.00109853751717725,306
19,0.171683543821943,0.158569448521148,0.00273733571165237,0.00109400017653047,307
18,0.172908566953565,0.159316339973398,0.00273667525636135,0.00110433757267381,305
17,0.174369938088723,0.159611638803289,0.00273974441557999,0.00111444889969783,302
16,0.174684825615766,0.158984746960889,0.00274852693543826,0.00114877015771831,301
15,0.177027966030127,0.158708004802078,0.00273576647294174,0.00112211894563375,297
14,0.177271915847254,0.160225557500371,0.00272311855050995,0.0011147144092582,297
13,0.178138992039348,0.162490335347519,0.00273673087690671,0.00113216582869328,296
12,0.180139683464594,0.165386133741586,0.00273987718244894,0.001140455022607,293
11,0.177568533481447,0.165863555742967,0.00276196406938477,0.00116798322687143,294
10,0.174896078463146,0.165236301556728,0.00275704451957864,0.00116736593012628,294
9,0.171479295020045,0.166410746803194,0.00276552524626027,0.0011936812856206,297
8,0.171580318925416,0.166051352229215,0.00276597356825651,0.0011823556085137,292
7,0.168167178336913,0.163831565856807,0.00280065657227789,0.00125433456238168,290
6,0.162712257396582,0.163333615572104,0.00278394338384237,0.00125089194332398,289
5,0.161752838608125,0.161694094036017,0.00278828798218478,0.00130555051054139,281
4,0.154171019887148,0.155412170895038,0.00276743724124607,0.00107851472406367,276
3,0.137341361919875,0.146290641294487,0.00284716217674272,0.0011633643155599,276
2,0.121346398735589,0.13488874654562,0.0028972217816434,0.00130475665650076,263
