"Site","Latitude","Longitude","Vegetation_IGBP","Period","Model","DOI"
"AR-SLu",-33.4648,-66.4598,"MF","2009-2011","No","10.18140/FLX/1440191"
"AR-Vir",-28.2395,-56.1886,"ENF","2009-2012","No","10.18140/FLX/1440192"
"AT-Neu",47.11667,11.3175,"GRA","2002-2012","Yes","10.18140/FLX/1440121"
"AU-Ade",-13.0769,131.1178,"WSH","2007-2009","No","10.18140/FLX/1440193"
"AU-ASM",-22.283,133.249,"ENF","2010-2014","No","10.18140/FLX/1440194"
"AU-Cpr",-34.0021,140.5891,"WSH","2010-2014","No","10.18140/FLX/1440195"
"AU-Cum",-33.61518,150.72362,"EBF","2012-2014","No","10.18140/FLX/1440196"
"AU-DaP",-14.0633,131.3181,"GRA","2007-2013","Yes","10.18140/FLX/1440123"
"AU-DaS",-14.1593,131.3881,"WSH","2008-2014","No","10.18140/FLX/1440122"
"AU-Dry",-15.2588,132.3706,"WSH","2008-2014","No","10.18140/FLX/1440197"
"AU-Emr",-23.8587,148.4746,"GRA","2011-2013","No","10.18140/FLX/1440198"
"AU-Fog",-12.5452,131.3072,"WET","2006-2008","No","10.18140/FLX/1440124"
"AU-Gin",-31.3764,115.7138,"WSH","2011-2014","No","10.18140/FLX/1440199"
"AU-GWW",-30.1913,120.6541,"WSH","2013-2014","No","10.18140/FLX/1440200"
"AU-How",-12.4943,131.1523,"WSH","2001-2014","No","10.18140/FLX/1440125"
"AU-Lox",-34.4704,140.6551,"DBF","2008-2009","Yes","10.18140/FLX/1440247"
"AU-RDF",-14.5636,132.4776,"WSH","2011-2013","No","10.18140/FLX/1440201"
"AU-Rig",-36.6499,145.5759,"GRA","2011-2014","Yes","10.18140/FLX/1440202"
"AU-Rob",-17.1175,145.6301,"EBF","2014-2014","No","10.18140/FLX/1440203"
"AU-Stp",-17.1507,133.3502,"GRA","2008-2014","No","10.18140/FLX/1440204"
"AU-TTE",-22.287,133.64,"SH","2012-2014","No","10.18140/FLX/1440205"
"AU-Tum",-35.6566,148.1517,"EBF","2001-2014","No","10.18140/FLX/1440126"
"AU-Wac",-37.4259,145.1878,"EBF","2005-2008","No","10.18140/FLX/1440127"
"AU-Whr",-36.6732,145.0294,"EBF","2011-2014","No","10.18140/FLX/1440206"
"AU-Wom",-37.4222,144.0944,"EBF","2010-2014","No","10.18140/FLX/1440207"
"AU-Ync",-34.9893,146.2907,"GRA","2012-2014","Yes","10.18140/FLX/1440208"
"BE-Bra",51.30761,4.51984,"MF","1996-2014","No","10.18140/FLX/1440128"
"BE-Lon",50.55162,4.74623,"CRO","2004-2014","No","10.18140/FLX/1440129"
"BE-Vie",50.30493,5.99812,"MF","1996-2014","No","10.18140/FLX/1440130"
"BR-Sa1",-2.85667,-54.95889,"EBF","2002-2011","No","10.18140/FLX/1440032"
"BR-Sa3",-3.01803,-54.97144,"EBF","2000-2004","No","10.18140/FLX/1440033"
"CA-Gro",48.2167,-82.1556,"DBF","2003-2014","Yes","10.18140/FLX/1440034"
"CA-Man",55.87962,-98.48081,"ENF","1994-2008","No","10.18140/FLX/1440035"
"CA-NS1",55.87917,-98.48389,"ENF","2001-2005","Yes","10.18140/FLX/1440036"
"CA-NS2",55.90583,-98.52472,"ENF","2001-2005","Yes","10.18140/FLX/1440037"
"CA-NS3",55.91167,-98.38222,"ENF","2001-2005","Yes","10.18140/FLX/1440038"
"CA-NS4",55.91437,-98.380645,"ENF","2002-2005","Yes","10.18140/FLX/1440039"
"CA-NS5",55.86306,-98.485,"ENF","2001-2005","Yes","10.18140/FLX/1440040"
"CA-NS6",55.91667,-98.96444,"SH","2001-2005","No","10.18140/FLX/1440041"
"CA-NS7",56.63583,-99.94833,"SH","2002-2005","No","10.18140/FLX/1440042"
"CA-Oas",53.62889,-106.19779,"DBF","1996-2010","Yes","10.18140/FLX/1440043"
"CA-Obs",53.98717,-105.11779,"ENF","1997-2010","Yes","10.18140/FLX/1440044"
"CA-Qfo",49.6925,-74.34206,"ENF","2003-2010","Yes","10.18140/FLX/1440045"
"CA-SF1",54.48503,-105.81757,"ENF","2003-2006","No","10.18140/FLX/1440046"
"CA-SF2",54.25392,-105.8775,"ENF","2001-2005","Yes","10.18140/FLX/1440047"
"CA-SF3",54.09156,-106.00526,"SH","2001-2006","No","10.18140/FLX/1440048"
"CA-TP1",42.66093611,-80.55951944,"ENF","2002-2014","No","10.18140/FLX/1440050"
"CA-TP2",42.77441944,-80.458775,"ENF","2002-2007","No","10.18140/FLX/1440051"
"CA-TP3",42.70681111,-80.34831389,"ENF","2002-2014","No","10.18140/FLX/1440052"
"CA-TP4",42.710161,-80.357376,"ENF","2002-2014","Yes","10.18140/FLX/1440053"
"CA-TPD",42.635328,-80.557731,"DBF","2012-2014","Yes","10.18140/FLX/1440112"
"CG-Tch",-4.28917,11.65642,"WSH","2006-2009","No","10.18140/FLX/1440142"
"CH-Cha",47.21022,8.41044,"GRA","2005-2014","No","10.18140/FLX/1440131"
"CH-Dav",46.81533,9.85591,"ENF","1997-2014","No","10.18140/FLX/1440132"
"CH-Fru",47.11583,8.53778,"GRA","2005-2014","No","10.18140/FLX/1440133"
"CH-Lae",47.47833,8.36439,"MF","2004-2014","No","10.18140/FLX/1440134"
"CH-Oe1",47.28583,7.73194,"GRA","2002-2008","No","10.18140/FLX/1440135"
"CH-Oe2",47.28642,7.73375,"CRO","2004-2014","No","10.18140/FLX/1440136"
"CN-Cha",42.4025,128.0958,"MF","2003-2005","No","10.18140/FLX/1440137"
"CN-Cng",44.5934,123.5092,"GRA","2007-2010","Yes","10.18140/FLX/1440209"
"CN-Dan",30.4978,91.0664,"GRA","2004-2005","No","10.18140/FLX/1440138"
"CN-Din",23.1733,112.5361,"EBF","2003-2005","No","10.18140/FLX/1440139"
"CN-Du2",42.0467,116.2836,"GRA","2006-2008","Yes","10.18140/FLX/1440140"
